Year,Rank,Recipient,Country,Career,Tied,Title
1999,1,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
1999,2,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
1999,3,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
1999,4,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
1999,5,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
1999,6,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
1999,7,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
1999,8,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
1999,9,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
1999,10,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2000,1,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2000,2,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2000,3,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2000,4,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2000,5,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2000,6,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2000,7,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2000,8,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2000,9,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2000,10,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2001,1,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2001,2,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2001,3,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2001,4,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2001,5,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2001,6,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2001,7,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2001,8,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2001,9,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2001,10,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2002,1,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2002,2,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2002,3,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2002,4,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2002,5,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2002,6,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2002,7,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2002,8,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2002,9,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2002,10,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2003,1,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2003,2,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2003,3,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2003,4,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2003,5,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2003,6,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2003,7,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2003,8,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2003,9,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2003,10,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2004,1,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2004,2,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2004,3,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2004,4,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2004,5,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2004,6,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2004,7,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2004,8,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2004,9,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2004,10,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2005,1,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2005,2,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2005,3,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2005,4,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2005,5,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2005,6,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2005,7,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2005,8,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2005,9,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2005,10,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2006,1,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2006,2,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2006,3,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2006,4,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2006,5,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2006,6,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2006,7,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2006,8,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2006,9,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2006,10,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2007,1,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2007,2,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2007,3,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2007,4,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2007,5,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2007,6,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2007,7,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2007,8,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2007,9,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2007,10,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2008,1,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2008,2,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2008,3,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2008,4,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2008,5,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2008,6,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2008,7,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2008,8,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2008,9,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2008,10,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2009,1,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2009,2,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2009,3,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2009,4,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2009,5,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2009,6,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2009,7,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2009,8,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2009,9,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2009,10,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2010,1,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2010,2,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2010,3,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2010,4,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2010,5,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2010,6,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2010,7,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2010,8,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2010,9,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2010,10,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2011,1,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2011,2,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2011,3,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2011,4,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2011,5,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2011,6,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2011,7,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2011,8,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2011,9,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2011,10,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2012,1,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2012,2,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2012,3,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2012,4,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2012,5,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2012,6,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2012,7,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2012,8,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2012,9,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2012,10,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2013,1,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2013,2,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2013,3,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2013,4,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2013,5,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2013,6,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2013,7,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2013,8,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2013,9,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2013,10,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2014,1,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2014,2,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2014,3,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2014,4,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2014,5,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2014,6,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2014,7,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2014,8,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2014,9,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2014,10,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2015,1,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2015,2,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2015,3,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2015,4,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2015,5,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2015,6,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2015,7,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2015,8,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2015,9,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2015,10,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2016,1,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2016,2,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2016,3,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2016,4,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2016,5,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2016,6,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2016,7,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2016,8,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
2016,9,"Michael Jordan","United States","Sportsperson (Basketball)",0,Michael_Jordan
